word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
z&nd&rm	1.0	-8.05	0	0	142	22	3	1	1	111	15	6	2	1	7
=itrusfruxt	1.0	-13.46	0	0	95	13	2	1	1	508	47	6	2	1	11
firn	1.0	-4.37	6	7	259	28	7	1	1	1218	104	3	1	1	4
jaux=@n	1.0	-6.03	0	0	43	6	2	2	1	1218	861	49	5	2	7
est@r	1.0	-4.61	4	5	93	8	2	1	1	373	230	68	26	2	5
klempn@r	1.0	-8.08	0	0	456	49	7	2	1	373	230	17	1	1	8
kl&mot@	1.0	-7.5	0	0	456	49	10	2	1	684	89	9	2	1	7
m&j	1.0	-3.91	6	6	247	53	3	3	3	10	2	1	1	1	3
&lm&n&x	1.0	-7.98	0	0	129	24	5	2	2	121	11	1	1	1	7
p&j@n	1.0	-4.51	4	4	214	55	1	1	1	1218	861	5	3	1	5
stul@	1.0	-4.95	12	15	467	130	14	2	1	684	67	7	2	1	5
v&lnus	1.0	-7.46	0	0	184	37	9	1	1	210	40	7	1	1	6
zeksta	1.0	-6.72	0	0	142	30	6	2	1	78	6	1	1	1	6
flunk@rn	1.0	-6.65	0	0	259	40	5	1	1	1218	104	87	4	3	8
kob&lt	1.0	-6.0	2	2	456	86	3	1	1	508	34	14	2	1	6
junf@r	1.0	-6.9	2	2	43	16	3	1	1	373	230	8	1	1	6
joga	1.0	-5.56	2	2	43	6	2	1	1	78	4	2	1	1	4
pur=@ln	1.0	-6.84	0	0	214	14	2	1	1	1218	67	67	5	1	7
k&t&r	1.0	-6.81	0	0	456	88	8	4	1	373	2	1	1	1	5
troyf@ln	1.0	-6.2	0	0	173	53	13	3	1	1218	67	67	4	3	8
fref@l	1.0	-6.06	0	0	259	25	4	1	1	286	162	9	2	1	6
traj@n	1.0	-5.14	6	6	173	53	11	1	1	1218	861	5	1	1	6
str&mp@ln	1.0	-6.84	0	0	467	130	35	5	2	1218	67	67	9	4	9
selm	1.0	-5.11	4	4	467	16	3	1	1	111	7	2	1	1	4
gr|l@n	1.0	-5.53	0	0	234	45	1	1	1	1218	861	46	1	1	6
trol@n	1.0	-4.66	4	5	173	53	13	1	1	1218	861	46	10	2	6
most	1.0	-4.26	18	19	247	43	4	1	1	508	79	6	1	1	4
eskimo	1.0	-9.18	0	0	93	8	2	1	1	44	2	1	1	1	6
entvis@n	1.0	-7.6	0	0	93	16	7	2	1	1218	861	63	23	5	8
&nf&x@n	1.0	-6.51	0	0	129	37	1	1	1	1218	861	43	7	1	7
erg/=@n	1.0	-5.64	0	0	93	26	4	1	1	1218	861	49	1	1	7
gaun@r	1.0	-6.59	0	0	234	18	5	1	1	373	230	17	2	1	6
faist	1.0	-4.89	10	10	259	27	10	1	1	508	79	14	6	1	5
sinbain	1.0	-7.35	0	0	467	21	4	1	1	1218	57	25	3	2	7
ruxlos	1.0	-6.61	0	0	165	19	1	1	1	210	24	6	1	1	6
kaviar	1.0	-7.23	0	0	456	30	1	1	1	373	27	1	1	1	6
konvoy	1.0	-7.1	0	0	456	86	29	3	1	11	9	1	1	1	6
&legori	1.0	-8.39	0	0	129	24	1	1	1	95	18	5	2	2	7
lex=@n	1.0	-4.6	0	1	192	37	2	1	1	1218	861	49	5	3	6
b&jonet	1.0	-7.84	0	0	263	35	1	1	1	508	28	5	1	1	7
luk@	1.0	-4.2	8	9	192	18	6	1	1	684	27	2	1	1	4
bib@r	1.0	-4.7	6	6	263	25	2	2	1	373	230	16	2	1	5
+lyk@n	1.0	-5.11	0	0	27	7	1	1	1	1218	861	83	8	1	6
lu=ern@	1.0	-8.6	0	0	192	18	1	1	1	684	81	8	4	1	7
f&rn	1.0	-4.5	8	8	259	22	4	1	1	1218	104	3	1	1	4
ri=@n	1.0	-4.4	10	11	165	20	1	1	1	1218	861	49	11	2	5
knyl@r	1.0	-5.0	2	2	456	33	4	2	2	373	230	11	1	1	6
penib@l	1.0	-6.9	0	0	214	26	4	2	1	286	162	24	5	1	7
ryps@n	1.0	-5.08	0	0	165	11	1	1	1	1218	861	63	2	1	6
prust@n	1.0	-5.99	0	1	214	37	2	1	1	1218	861	82	15	3	7
soyx@n	1.0	-4.71	2	2	467	14	5	1	1	1218	861	43	2	2	6
knyl@n	1.0	-4.4	6	6	456	33	4	2	2	1218	861	46	6	1	6
sp&rg@l	1.0	-6.45	0	0	467	66	7	2	1	286	162	24	3	1	7
gek	1.0	-4.48	16	17	234	22	1	1	1	111	12	1	1	1	3
zudet@nl&nt	1.0	-11.54	0	0	142	10	2	2	2	508	89	25	5	1	11
r&p@ln	1.0	-5.2	4	4	165	23	3	2	1	1218	67	67	9	2	6
pirat	1.0	-5.58	2	2	214	20	3	1	1	508	36	13	2	1	5
infam	1.0	-6.84	0	0	67	36	3	1	1	111	7	1	1	1	5
vidrix	1.0	-6.9	0	0	184	39	4	1	1	121	74	4	1	1	6
sprint@n	1.0	-6.39	0	0	467	66	14	5	2	1218	861	82	4	2	8
klient	1.0	-5.8	0	0	456	49	10	1	1	508	89	24	3	1	6
g&nov@	1.0	-6.81	0	0	234	25	3	1	1	684	10	1	1	1	6
v&t@	1.0	-4.69	14	15	184	37	2	1	1	684	89	7	1	1	4
knoy@l	1.0	-5.75	0	0	456	33	8	1	1	286	162	2	2	1	6
p&tron@	1.0	-6.9	0	1	214	55	5	4	2	684	81	12	2	1	7
stev@n	1.0	-5.9	8	9	467	130	18	1	1	1218	861	2	1	1	6
fl&ks	1.0	-4.94	0	1	259	40	8	2	1	210	19	3	1	1	5
srub@n	1.0	-5.6	0	0	467	15	2	1	1	1218	861	46	5	1	6
rys@l	1.0	-4.96	2	3	165	11	3	2	1	286	162	11	2	1	5
toz@n	1.0	-4.94	4	4	173	22	1	1	1	1218	861	27	4	1	5
elx	1.0	-4.42	4	6	93	9	1	1	1	121	6	2	2	2	3
