word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
zoli	94.55	-5.18	4	4	103	7	1	1	1	304	21	7	1	1	4
kalm	94.16	-4.75	4	6	560	144	16	1	1	147	3	2	1	1	4
gard	93.72	-4.8	4	7	155	34	8	3	3	138	15	4	2	2	4
pr2mje	93.68	-5.42	0	0	534	108	1	1	1	449	53	2	1	1	6
k)	93.43	-3.05	32	33	560	108	108	108	108	203	6	6	6	6	2
kw5	93.43	-4.24	16	16	560	7	1	1	1	167	13	1	1	1	3
v(ny	93.14	-4.81	4	5	155	4	2	1	1	89	11	6	4	4	4
port	93.05	-4.3	12	18	534	45	10	5	5	338	19	6	3	3	4
trist	93.03	-5.22	4	5	270	81	13	2	1	338	45	10	3	1	5
gane	92.72	-4.87	2	2	155	34	1	1	1	449	37	6	1	1	4
az@	92.42	-5.11	4	7	331	9	1	1	1	118	13	1	1	1	3
tus	91.91	-3.91	20	23	270	16	2	2	2	339	17	2	2	2	3
egz@pl	91.83	-6.97	0	0	240	22	12	1	1	409	11	3	1	1	6
d(bu	91.81	-5.8	2	2	252	18	1	1	1	55	5	1	1	1	4
fo	90.99	-4.02	32	38	273	27	27	27	27	245	1	1	1	1	2
prefer	90.34	-5.5	0	1	534	108	29	2	2	768	156	6	1	1	6
grup	90.16	-5.26	10	10	155	51	2	1	1	74	8	2	1	1	4
b)	90.13	-3.29	36	38	322	6	6	6	6	203	6	6	6	6	2
5terj9r	89.75	-6.17	4	4	71	17	13	10	1	768	74	8	5	5	7
abityd	89.71	-6.78	2	2	331	21	4	2	1	138	10	8	6	1	6
bj5	89.61	-3.54	16	17	322	8	3	3	3	167	30	2	2	2	3
puvwar	89.52	-5.74	0	1	534	22	1	1	1	768	128	49	11	1	6
avoka	89.28	-6.43	0	0	331	27	2	1	1	203	12	2	1	1	5
me	89.25	-2.8	38	44	354	60	60	60	60	449	15	15	15	15	2
sypoz	89.07	-5.66	2	2	529	42	13	2	1	197	16	4	1	1	5
kler	88.54	-4.49	6	10	560	42	8	4	4	768	156	11	2	2	4
te	88.47	-2.71	38	46	270	34	34	34	34	449	53	53	53	53	2
pyt	87.91	-3.59	20	23	534	17	3	3	3	338	15	2	2	2	3
bus	87.75	-3.74	36	38	322	37	4	4	4	339	17	1	1	1	3
vilaz	87.6	-5.93	4	4	155	33	3	1	1	197	58	5	1	1	5
lwa	87.37	-3.58	30	31	161	7	3	3	3	203	47	4	4	4	3
ora	87.32	-4.44	16	20	140	40	4	4	4	203	22	1	1	1	3
otur	87.02	-5.48	4	7	140	15	1	1	1	768	26	6	2	2	4
dam	86.5	-4.38	20	22	252	11	1	1	1	147	20	2	2	2	3
vizit	86.34	-5.56	2	2	155	33	8	2	1	338	42	6	1	1	5
dispary	86.21	-8.77	0	0	252	46	14	4	1	89	8	2	1	1	7
@fer	86.02	-4.76	8	8	96	5	1	1	1	768	156	6	1	1	4
flik	85.97	-4.71	10	10	273	29	2	1	1	166	58	12	1	1	4
egzist	85.86	-6.06	0	0	240	22	12	3	1	338	45	10	3	1	6
m)tr	85.44	-4.7	4	6	354	7	3	1	1	768	62	3	1	1	4
s(val	85.42	-4.7	0	0	529	27	6	1	1	409	76	8	1	1	5
k8izin	85.08	-6.63	0	0	560	7	7	1	1	243	78	10	2	1	6
ordr	84.75	-4.99	6	9	140	40	6	1	1	768	30	2	2	2	4
pre	84.56	-2.98	26	31	534	108	29	29	29	449	53	4	4	4	3
r@	84.13	-3.24	36	41	225	15	15	15	15	118	15	15	15	15	2
@tr	84.08	-3.81	8	12	96	25	9	9	9	768	62	3	3	3	3
po	83.83	-3.02	36	43	534	45	45	45	45	245	12	12	12	12	2
las	83.64	-3.66	28	33	161	35	2	2	2	339	47	8	8	8	3
vre	83.64	-5.11	14	16	155	2	1	1	1	449	53	2	2	2	3
vole	83.46	-4.18	10	12	155	20	9	1	1	449	39	7	1	1	4
sy	83.37	-3.03	34	40	529	42	42	42	42	89	8	8	8	8	2
pir	83.22	-3.09	38	40	534	33	6	6	6	768	84	8	8	8	3
promi	82.83	-4.78	6	6	534	108	52	5	1	304	23	7	1	1	5
form	82.61	-4.39	12	15	273	27	11	3	3	147	18	5	3	3	4
s@	82.53	-3.08	36	38	529	29	29	29	29	118	9	9	9	9	2
sor	82.41	-3.67	44	51	529	56	4	4	4	768	56	2	2	2	3
ku	82.33	-3.53	34	41	560	33	33	33	33	55	3	3	3	3	2
plen	82.13	-4.68	8	12	534	37	5	1	1	243	48	6	1	1	4
k)pri	82.12	-4.75	0	0	560	108	21	5	2	304	52	4	1	1	5
ly	82.12	-3.21	34	40	161	14	14	14	14	89	12	12	12	12	2
nuvel	82.08	-5.81	0	0	93	6	2	1	1	409	89	6	1	1	5
m9rtr	81.94	-7.07	0	0	354	6	2	1	1	768	62	1	1	1	5
krim	81.77	-4.23	8	10	560	62	12	1	1	147	27	8	2	2	4
est	81.74	-3.33	4	10	240	36	5	5	5	338	45	15	15	15	3
madam	81.64	-5.92	0	0	354	131	2	1	1	147	20	2	1	1	5
s(l)	81.4	-4.5	6	6	529	27	1	1	1	203	18	3	1	1	4
s(kre	81.34	-5.44	4	4	529	27	5	2	2	449	53	5	1	1	5
v5	80.92	-3.49	32	33	155	3	3	3	3	167	3	3	3	3	2
apel	80.88	-4.69	2	4	331	35	5	1	1	409	89	4	2	2	4
tire	80.75	-5.66	6	8	270	22	6	1	1	449	53	3	1	1	4
turn	80.72	-4.16	4	5	270	16	7	3	3	243	23	2	2	2	4
aniverser	80.24	-8.57	0	0	331	23	3	1	1	768	156	11	2	2	9
misj)	80.02	-5.27	0	1	354	40	6	1	1	203	36	9	2	2	5
asje	79.85	-4.52	2	4	331	26	2	2	2	449	53	5	1	1	4
ruz	79.7	-4.78	8	9	225	12	1	1	1	197	6	1	1	1	3
ferm	79.68	-4.81	10	10	273	24	6	1	1	147	18	4	1	1	4
rep)s	79.19	-6.26	0	0	225	66	7	1	1	339	7	2	1	1	5
l)	79.18	-3.51	34	36	161	1	1	1	1	203	18	18	18	18	2
porte	79.04	-5.11	2	4	534	45	10	5	1	449	53	5	2	2	5
mor	78.99	-3.26	36	40	354	48	10	10	10	768	56	1	1	1	3
br8i	78.94	-4.6	4	4	322	55	1	1	1	304	23	5	1	1	4
frer	78.94	-4.7	16	18	273	45	11	2	2	768	156	9	2	2	4
etr	78.78	-3.57	12	20	240	29	6	6	6	768	62	18	18	18	3
ser	78.76	-2.91	46	57	529	75	28	28	28	768	156	11	11	11	3
bon9r	78.34	-5.34	0	1	322	25	3	1	1	768	74	4	2	1	5
rak)t	78.06	-5.97	2	3	225	37	4	1	1	338	6	3	2	1	5
s5pa	77.46	-5.72	2	2	529	17	4	1	1	203	6	1	1	1	4
imazin	77.33	-6.64	0	0	55	11	4	2	1	243	78	10	2	1	6
bal	77.32	-3.13	42	47	322	75	12	12	12	409	76	3	3	3	3
bor	77.06	-3.76	36	40	322	25	3	3	3	768	56	6	6	6	3
inor	76.78	-5.38	0	2	55	6	3	1	1	768	56	4	2	2	4
d@ze	76.73	-5.44	4	4	252	7	1	1	1	449	41	3	1	1	4
egzakt	76.66	-5.88	0	0	240	22	12	4	1	338	20	6	1	1	6
k)tiny	76.64	-6.37	2	3	560	108	24	3	3	89	11	3	1	1	6
d(d@	76.55	-5.32	0	0	252	18	1	1	1	118	10	1	1	1	4
pitje	76.38	-5.72	0	0	534	33	4	1	1	449	53	6	1	1	5
liberte	76.28	-7.88	2	2	161	27	7	4	3	449	53	5	2	2	7
batr	75.92	-4.38	6	11	322	75	9	1	1	768	62	4	2	2	4
kon(ri	75.75	-6.89	0	0	560	108	5	1	1	304	52	7	1	1	6
tru	75.32	-4.1	10	17	270	81	9	9	9	55	7	1	1	1	3
bwat	74.58	-5.29	4	6	322	7	6	1	1	338	20	3	1	1	4
fl9r	74.56	-3.48	8	10	273	29	4	2	2	768	74	8	1	1	4
d(vwar	74.06	-5.2	0	0	252	18	6	1	1	768	128	49	11	3	6
ba	73.86	-3.03	36	50	322	75	75	75	75	203	8	8	8	8	2
by	73.8	-3.39	36	43	322	13	13	13	13	89	7	7	7	7	2
poze	73.73	-4.09	10	13	534	45	2	1	1	449	41	9	3	3	4
v@dr	73.62	-4.4	10	10	155	8	4	2	2	768	30	13	1	1	4
servir	73.55	-5.52	0	1	529	75	28	4	1	768	84	3	1	1	6
rob	72.72	-4.3	14	17	225	21	5	5	5	38	8	2	2	2	3
post	72.64	-4.51	8	10	534	45	6	3	3	338	45	4	2	2	4
mek	72.61	-4.6	20	21	354	60	3	3	3	166	18	1	1	1	3
zurnal	72.5	-6.67	0	0	103	7	3	2	1	409	76	7	1	1	6
av(nir	72.47	-5.96	0	0	331	27	2	2	1	768	84	8	5	3	6
s(g)d	72.34	-5.08	0	1	529	27	2	2	1	138	6	1	1	1	5
or	71.94	-2.72	18	35	140	40	40	40	40	768	56	56	56	56	2
v@	71.5	-3.6	32	34	155	8	8	8	8	118	5	5	5	5	2
syper	71.48	-4.42	2	3	529	42	13	5	5	768	156	10	2	1	5
radjo	71.31	-5.77	2	2	225	37	7	2	1	245	19	4	1	1	5
zwa	71.07	-3.82	28	28	103	5	2	2	2	203	47	1	1	1	3
parol	71.07	-5.31	0	1	534	113	49	2	1	409	53	7	1	1	5
etr@z	70.99	-5.56	0	0	240	29	6	2	1	197	13	4	1	1	5
kuraz	70.7	-5.75	0	1	560	33	7	1	1	197	58	8	1	1	5
t@t	70.69	-3.9	14	18	270	19	5	5	5	338	16	1	1	1	3
lin	70.5	-3.44	24	26	161	27	1	1	1	243	78	12	12	12	3
f(netr	70.2	-6.86	0	0	273	3	2	1	1	768	62	18	2	1	6
d@se	70.06	-5.23	8	8	252	7	1	1	1	449	43	5	1	1	4
truv	70.05	-5.15	12	13	270	81	9	1	1	56	4	4	1	1	4
zwe	69.83	-4.14	18	20	103	5	1	1	1	449	11	2	2	2	3
d(vj5	69.59	-4.88	2	3	252	18	6	1	1	167	30	7	2	1	5
sosjete	69.38	-7.7	0	0	529	56	6	1	1	449	53	9	3	2	7
parmi	69.17	-4.86	4	5	534	113	49	1	1	304	23	4	1	1	5
k)sej	68.86	-5.62	2	2	560	108	24	7	1	107	19	1	1	1	5
milj2	68.6	-5.85	0	0	354	40	4	1	1	24	7	3	1	1	5
bjer	68.55	-4.53	8	10	322	8	3	1	1	768	156	33	1	1	4
koler	67.91	-4.68	6	9	560	108	21	6	2	768	156	11	2	1	5
par	67.76	-2.6	50	60	534	113	49	49	49	768	128	5	5	5	3
sin	67.74	-3.16	30	32	529	66	10	10	10	243	78	9	9	9	3
lev	67.72	-4.35	14	19	161	20	2	2	2	56	12	6	6	6	3
vak@s	67.6	-6.83	2	2	155	24	3	1	1	339	57	4	1	1	5
z@b	67.51	-5.33	6	8	103	10	2	2	2	38	2	1	1	1	3
epok	67.23	-5.83	4	4	240	22	3	1	1	166	24	1	1	1	4
salo	66.74	-4.29	20	22	529	68	14	1	1	245	27	3	1	1	4
viktim	66.47	-7.63	0	0	155	33	2	2	1	147	27	7	1	1	6
ero	66.17	-4.71	14	17	240	14	2	2	2	245	30	7	7	7	3
sistem	66.12	-6.75	0	0	529	66	4	1	1	147	20	5	1	1	6
set	66.07	-3.65	34	38	529	75	1	1	1	338	71	4	4	4	3
aport	65.97	-5.42	4	6	331	35	4	1	1	338	19	6	3	1	5
ar	65.93	-2.5	18	39	331	55	55	55	55	768	128	128	128	128	2
dul9r	65.78	-5.62	2	2	252	9	1	1	1	768	74	8	2	1	5
av@s	65.68	-4.62	0	0	331	27	3	1	1	339	57	2	1	1	4
traver	65.6	-5.4	0	0	270	81	17	4	2	768	156	12	2	1	6
ta	65.28	-3.06	34	41	270	32	32	32	32	203	12	12	12	12	2
sert5	65.2	-5.44	0	1	529	75	28	3	1	167	26	3	2	1	5
kapabl	65.15	-7.31	0	0	560	144	12	1	1	409	37	8	1	1	6
prez@	65.14	-5.16	0	0	534	108	29	6	1	118	13	1	1	1	5
pot	65.03	-3.22	34	41	534	45	6	6	6	338	35	4	4	4	3
tor	64.89	-3.38	36	41	270	32	14	14	14	768	56	6	6	6	3
istwar	64.6	-7.26	0	0	55	6	2	1	1	768	128	49	11	1	6
s@s)	64.5	-4.42	10	10	529	29	7	1	1	203	29	2	1	1	4
kul	63.63	-3.88	24	27	560	33	4	4	4	409	11	2	2	2	3
5tere	63.63	-5.54	0	0	71	17	13	10	1	449	53	7	1	1	5
k)trol	63.48	-5.91	0	0	560	108	24	6	2	409	53	7	3	1	6
rir	63.29	-3.9	24	25	225	21	1	1	1	768	84	13	13	13	3
r(vj5	63.17	-4.94	2	2	225	29	2	1	1	167	30	7	2	1	5
gars)	63.09	-5.81	2	2	155	34	8	1	1	203	29	3	1	1	5
p5	62.81	-3.17	38	42	534	8	8	8	8	167	8	8	8	8	2
sinema	62.23	-7.29	0	0	529	66	10	1	1	203	16	2	1	1	6
z9n	62.12	-4.23	8	8	103	2	2	2	2	243	3	2	2	2	3
kl9b	61.99	-5.54	0	0	560	42	1	1	1	38	2	1	1	1	4
@n8i	61.89	-4.99	0	0	96	1	1	1	1	304	23	2	1	1	4
ete	61.8	-3.8	16	19	240	29	5	5	5	449	53	9	9	9	3
pl2re	61.6	-5.95	0	0	534	37	2	1	1	449	53	1	1	1	5
b5	61.43	-3.58	38	40	322	1	1	1	1	167	5	5	5	5	2
kop5	61.14	-5.19	4	4	560	108	3	1	1	167	8	1	1	1	4
sosyr	61.09	-5.72	2	2	529	56	6	1	1	768	81	7	2	1	5
d@	60.94	-3.3	38	38	252	7	7	7	7	118	10	10	10	10	2
pr9v	60.79	-4.58	2	3	534	108	1	1	1	56	3	2	2	2	4
k)d8ir	60.56	-5.64	0	0	560	108	4	1	1	768	84	8	3	1	6
blag	60.33	-6.1	4	5	322	18	4	1	1	53	6	1	1	1	4
egliz	60.2	-5.65	2	3	240	22	3	1	1	197	30	6	2	2	5
