word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ent@r@	1.0	-5.2	0	1	102	11	4	2	1	1727	214	109	35	2	6
pllz@	1.0	-5.01	0	1	370	65	4	1	1	1727	71	3	1	1	5
frats	1.0	-5.11	0	1	139	23	8	2	1	333	49	5	2	1	5
l|r@	1.0	-3.88	18	22	217	5	1	1	1	1727	214	13	4	4	4
kwez@l	1.0	-5.22	0	1	602	27	12	1	1	415	204	10	4	2	6
duz@l@	1.0	-5.03	2	2	224	11	1	1	1	1727	266	163	10	1	6
lav@	1.0	-4.12	26	27	217	45	2	1	1	1727	64	8	1	1	4
kamelija	1.0	-7.92	0	0	602	135	15	3	3	134	23	19	3	1	8
brok@	1.0	-4.44	8	11	372	59	10	3	1	1727	162	22	4	1	5
kaput	1.0	-5.49	2	2	602	135	12	1	1	581	19	2	1	1	5
zigolo	1.0	-7.95	0	0	176	18	2	1	1	83	6	2	1	1	6
salto	1.0	-6.79	4	4	786	41	11	1	1	83	12	1	1	1	5
spalk	1.0	-4.91	0	2	786	111	15	2	2	249	26	6	1	1	5
lampijon	1.0	-7.29	0	0	217	45	4	2	1	282	67	12	7	4	8
odise	1.0	-7.52	0	0	68	3	2	1	1	45	5	2	1	1	5
spalk@	1.0	-5.37	0	1	786	111	15	2	2	1727	162	12	4	1	6
stik	1.0	-3.9	22	26	786	177	13	3	3	249	43	4	2	2	4
sepija	1.0	-6.95	0	0	786	41	2	1	1	134	23	19	1	1	6
korijand@r	1.0	-7.69	0	0	602	85	16	3	1	414	228	41	14	3	10
elant	1.0	-5.88	4	5	102	12	1	1	1	581	95	31	4	1	5
p|t	1.0	-4.1	14	14	370	6	3	3	3	581	2	1	1	1	3
wid@s	1.0	-6.12	0	1	183	32	2	2	1	333	9	1	1	1	5
xlor	1.0	-5.08	0	3	221	20	5	3	3	414	31	2	1	1	4
