word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ble@r	43.0	-4.45	4	6	361	45	4	1	1	332	261	29	5	1	5
sqljubp	43.0	-6.81	2	2	784	23	5	1	1	540	64	3	2	2	7
nikp	43.0	-4.47	18	20	108	19	2	1	1	540	39	11	1	1	4
s@n#t@	43.0	-8.78	0	0	784	15	1	1	1	181	19	1	1	1	6
fjud	43.0	-4.3	14	16	267	11	10	1	1	327	24	5	1	1	4
snig@r	43.0	-5.61	0	1	784	34	9	1	1	332	261	9	3	2	6
br{n	43.0	-4.31	14	16	361	66	9	2	2	484	27	2	1	1	4
trivi@	43.0	-6.99	0	0	323	84	15	1	1	181	13	1	1	1	6
m{nd@rin	43.0	-6.59	0	0	280	45	12	3	2	484	158	19	5	1	8
b{dmint@n	42.0	-8.94	0	0	361	33	2	1	1	484	106	13	4	1	9
v@ni@r	42.0	-6.6	0	0	115	6	2	2	1	332	261	53	3	1	6
m{gnit	42.0	-6.31	0	0	280	45	4	1	1	751	163	15	1	1	6
d$dp	42.0	-5.64	2	2	233	5	1	1	1	540	47	1	1	1	4
se_	42.0	-4.06	22	24	784	35	1	1	1	83	8	1	1	1	3
d#ft	42.0	-4.24	10	13	233	26	1	1	1	751	25	8	1	1	4
3jin	42.0	-5.76	2	3	10	1	1	1	1	484	158	3	1	1	4
r$t	42.0	-4.63	32	35	197	3	1	1	1	751	18	2	2	2	3
k#d@r	42.0	-4.3	4	4	535	36	3	1	1	332	261	32	2	1	5
sizp	42.0	-4.09	12	15	784	85	3	1	1	540	15	6	1	1	4
sru	42.0	-4.08	10	15	784	14	2	2	2	86	11	1	1	1	3
v3b	42.0	-4.26	10	10	115	12	1	1	1	76	3	1	1	1	3
snvb	42.0	-4.52	10	12	784	34	4	1	1	76	16	2	1	1	4
int3r	42.0	-6.48	0	0	96	34	9	1	1	332	16	2	1	1	5
m{ngp	42.0	-4.06	18	19	280	45	12	2	1	540	36	15	9	1	5
#tij5k	42.0	-7.53	0	0	40	4	3	1	1	298	17	2	1	1	6
pedim@nt	42.0	-7.86	0	0	400	28	4	3	1	751	106	29	7	1	8
n5m	42.0	-3.98	28	29	108	9	2	2	2	212	10	2	2	2	3
ber1	42.0	-5.09	2	3	361	20	3	1	1	58	12	1	1	1	4
t{k	42.0	-3.51	42	49	323	31	5	5	5	298	24	3	3	3	3
wqn	42.0	-3.7	38	42	138	21	4	4	4	484	28	2	2	2	3
w$t	42.0	-3.62	40	44	138	13	1	1	1	751	18	4	4	4	3
beduin	42.0	-6.85	0	0	361	20	3	1	1	484	158	2	1	1	6
r5d@nt	42.0	-6.5	0	0	197	20	4	2	1	751	106	29	1	1	6
3r	42.0	-3.79	14	21	10	1	1	1	1	332	16	16	16	16	2
emb#g5	42.0	-7.16	0	0	42	7	3	1	1	166	16	3	1	1	6
sk{nt	42.0	-4.51	0	2	784	97	7	3	1	751	106	6	3	1	5
grqt5	42.0	-5.47	0	0	204	58	4	1	1	166	14	2	1	1	5
t5l	42.0	-4.29	44	47	323	13	1	1	1	278	27	2	2	2	3
w{k	42.0	-3.96	34	35	138	6	2	2	2	298	24	1	1	1	3
fjum	42.0	-4.08	6	7	267	11	10	1	1	212	18	5	1	1	4
hik	42.0	-3.94	54	56	199	22	2	2	2	298	59	1	1	1	3
{mbp	42.0	-4.03	2	5	85	5	1	1	1	540	64	19	6	6	4
k#u@r	42.0	-4.24	8	10	535	36	7	1	1	332	261	16	6	2	5
br#in	41.0	-4.35	10	11	361	66	11	6	1	484	158	24	4	1	5
pr5t{g@nist	41.0	-11.12	0	0	400	68	12	5	1	751	90	23	2	1	11
svkjul@nt	41.0	-7.68	0	0	784	28	5	2	2	751	106	29	3	1	9
mel5	41.0	-4.7	12	12	280	23	3	1	1	166	29	5	1	1	4
kw#m	41.0	-4.9	2	3	535	31	5	1	1	212	11	1	1	1	4
zest	41.0	-4.53	20	20	16	6	1	1	1	751	90	19	1	1	4
p#snip	41.0	-6.91	0	0	400	37	7	1	1	540	44	4	2	1	6
sk{b	41.0	-4.37	6	7	784	97	7	2	2	76	14	2	1	1	4
mvfti	41.0	-6.92	0	0	280	34	4	1	1	195	16	1	1	1	5
svnt	41.0	-4.22	14	17	784	28	4	1	1	751	106	12	1	1	4
#ust	41.0	-5.75	4	5	40	5	1	1	1	751	90	3	1	1	4
p1v	41.0	-4.21	20	21	400	17	1	1	1	68	11	1	1	1	3
fi{sk5	41.0	-8.01	0	0	267	32	1	1	1	166	12	3	1	1	6
m5gp	41.0	-4.87	0	1	280	17	1	1	1	540	36	2	1	1	4
s@v{n@	41.0	-6.74	0	0	784	15	2	1	1	181	22	4	1	1	6
spju	41.0	-4.46	2	4	784	80	2	2	2	86	31	3	1	1	4
sint{ks	41.0	-7.0	0	0	784	85	17	1	1	407	46	10	2	1	7
hvnk	41.0	-3.97	26	26	199	25	5	1	1	298	45	11	1	1	4
t5t	41.0	-3.97	36	41	323	13	2	2	2	751	20	2	2	2	3
prqfis#i	41.0	-8.36	0	0	400	68	14	2	2	195	35	2	1	1	8
klinj	41.0	-5.11	6	8	535	51	10	3	1	109	32	8	3	1	5
n5m{d	41.0	-6.1	0	0	108	9	2	1	1	327	16	2	1	1	5
siv	41.0	-3.68	38	42	784	85	4	4	4	68	25	1	1	1	3
snqb	41.0	-4.37	8	10	784	34	2	1	1	76	15	2	1	1	4
silik@n	41.0	-6.19	2	3	784	85	11	4	3	484	106	11	6	2	7
kvvit	41.0	-5.49	0	0	535	25	3	1	1	751	163	6	1	1	5
kindp	41.0	-5.36	2	2	535	22	4	1	1	540	47	13	4	1	5
t1nt	40.0	-4.74	14	14	323	9	1	1	1	751	106	6	1	1	4
teleks	40.0	-6.42	0	0	323	30	2	1	1	407	46	15	4	1	6
tjulip	40.0	-6.29	0	0	323	6	6	1	1	540	44	8	1	1	6
fresk5	40.0	-7.07	0	0	267	36	5	2	1	166	12	3	1	1	6
pl{t	40.0	-4.06	16	17	400	48	14	3	3	751	27	3	1	1	4
k{b@r1	40.0	-7.0	0	0	535	67	4	1	1	58	12	3	1	1	6
ferit	40.0	-5.52	2	2	267	17	1	1	1	751	163	14	3	1	5
k{lkjul@s	40.0	-7.83	0	0	535	67	8	1	1	407	74	6	1	1	9
d{f@dil	40.0	-8.51	0	0	233	16	1	1	1	278	68	4	1	1	7
insest	40.0	-6.69	4	4	96	34	9	2	1	751	90	19	1	1	6
frqnd	40.0	-5.01	2	3	267	36	7	1	1	327	67	7	1	1	5
sne@r	40.0	-5.4	10	11	784	34	1	1	1	332	261	29	1	1	5
_{ngp	40.0	-5.25	16	17	79	11	1	1	1	540	36	15	9	1	5
j5g@	40.0	-5.13	2	2	109	3	1	1	1	181	6	2	1	1	4
sp{nk	40.0	-4.64	0	2	784	80	6	3	1	298	45	16	1	1	5
pr#ns	40.0	-4.95	6	6	400	68	12	1	1	407	42	6	2	1	5
h#likwin	40.0	-7.85	0	0	199	34	2	1	1	484	158	8	3	2	8
jed@r	40.0	-5.11	4	5	109	13	1	1	1	332	261	32	4	1	5
iz@m	40.0	-5.15	0	0	96	3	1	1	1	212	48	8	3	3	4
r{nt	40.0	-4.12	14	16	197	24	6	1	1	751	106	6	1	1	4
stigm@	40.0	-5.82	0	0	784	130	14	2	2	181	27	3	2	1	6
p{mp@r	40.0	-5.39	2	2	400	51	3	2	2	332	261	8	3	1	6
dvn_@n	40.0	-5.85	0	0	233	22	4	1	1	484	106	4	1	1	6
s{p	40.0	-3.81	44	48	784	31	2	2	2	540	22	1	1	1	3
misiz	40.0	-5.66	2	2	280	42	6	1	1	104	36	5	3	1	5
b{l@st	40.0	-6.11	0	1	361	33	7	5	1	751	90	3	1	1	6
k@nstru	40.0	-7.77	0	0	535	64	27	6	1	86	11	3	2	1	7
krqj	40.0	-4.92	8	8	535	79	6	1	1	109	6	1	1	1	4
svkp	40.0	-3.92	20	21	784	28	5	1	1	540	39	5	1	1	4
sifqn	40.0	-6.07	0	0	784	85	3	1	1	484	28	1	1	1	5
rvt	40.0	-4.22	44	46	197	21	1	1	1	751	11	2	2	2	3
l{b@rint	40.0	-8.05	0	0	192	24	1	1	1	751	106	18	3	1	8
fvnp	40.0	-4.6	10	11	267	12	5	1	1	540	12	3	1	1	4
h#ibrid	40.0	-7.59	0	0	199	34	17	1	1	327	74	7	2	1	7
prik	39.0	-3.96	20	22	400	68	13	1	1	298	59	12	1	1	4
_vgp	39.0	-4.44	2	4	79	9	2	1	1	540	36	3	1	1	4
g1bp	39.0	-4.14	16	18	204	10	1	1	1	540	64	9	1	1	4
