lang,length,lex,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,var.mp.f,var.prob.f,z.mp.f,z.prob.f,p.mp.f,p.prob.f,sig.mp.f,sig.prob.f
an,6,-1,0.179398205753065,0.186291571940529,0.424899860800945,5.98297582174364e-24,9.93762168300228e-26,7.7471089439775e-137,0.145198898646677,0.152173031579344,0.213169340988204,0.219966644667252,0.00380804846668089,0.00481980634348614,0.0167788979773189,0.0177708785187108,10.4649398025866,10.2117498246343,1.25156063789727e-25,1.75667842337219e-24,*,*
an,6,-1,0.179398205753065,0.186291571940529,0.424899860800945,5.98297582174364e-24,9.93762168300228e-26,7.7471089439775e-137,0.145198898646677,0.152173031579344,0.213169340988204,0.219966644667252,0.00380804846668089,0.00481980634348614,0.0167788979773189,0.0177708785187108,10.4649398025866,10.2117498246343,1.25156063789727e-25,1.75667842337219e-24,*,*
an,7,-1,0.176656986297867,0.211752666090297,0.311765849249394,1.9826414734043e-24,1.320575825481e-34,5.97236049761551e-75,0.143319079097843,0.178844099769864,0.209594434174655,0.244187962147952,0.000464038999665093,0.000803662539647561,0.0185734785640367,0.0176384736685197,9.48626541284298,11.9595951166195,2.39459814043512e-21,5.78432621121704e-33,*,*
an,7,-1,0.176656986297867,0.211752666090297,0.311765849249394,1.9826414734043e-24,1.320575825481e-34,5.97236049761551e-75,0.143319079097843,0.178844099769864,0.209594434174655,0.244187962147952,0.000464038999665093,0.000803662539647561,0.0185734785640367,0.0176384736685197,9.48626541284298,11.9595951166195,2.39459814043512e-21,5.78432621121704e-33,*,*
ar,3,-1,0.0874147720745366,0.266017469782497,0.439018227275615,0.000491791231950304,4.25494119232626e-27,1.03344631737826e-75,0.038358124403251,0.219672127946607,0.136051075997263,0.311164821858724,0.0383143370408619,0.00574189337766738,0.0239762120556287,0.0257736286441558,2.04788124661868,10.0985227962399,0.040571636833408,5.60805562327285e-24,n.s,*
ar,3,-1,0.0874147720745366,0.266017469782497,0.439018227275615,0.000491791231950304,4.25494119232626e-27,1.03344631737826e-75,0.038358124403251,0.219672127946607,0.136051075997263,0.311164821858724,0.0383143370408619,0.00574189337766738,0.0239762120556287,0.0257736286441558,2.04788124661868,10.0985227962399,0.040571636833408,5.60805562327285e-24,n.s,*
ar,4,-1,0.120696481801245,0.210641759315704,0.426279405704173,3.47655951825433e-14,1.57370892464084e-40,9.7049117966279e-173,0.0897174965250811,0.180514479648426,0.151442148728968,0.240374150534897,0.013474034334701,-0.00089104483638878,0.0157813023917244,0.0159386180147949,6.7942711447422,13.2717155248805,1.08861474424076e-11,3.3775879160075e-40,*,*
ar,4,-1,0.120696481801245,0.210641759315704,0.426279405704173,3.47655951825433e-14,1.57370892464084e-40,9.7049117966279e-173,0.0897174965250811,0.180514479648426,0.151442148728968,0.240374150534897,0.013474034334701,-0.00089104483638878,0.0157813023917244,0.0159386180147949,6.7942711447422,13.2717155248805,1.08861474424076e-11,3.3775879160075e-40,*,*
ar,5,-1,0.193742579210746,0.245499089591967,0.564345381433025,1.18078466654701e-40,6.12623213357596e-65,0,0.165955953473403,0.218328190854378,0.221221799976036,0.272289656556941,0.00563602857499847,-0.00044884658415111,0.0142777934579463,0.0147893837293555,13.1747633967248,16.6300327773587,1.22611220310016e-39,4.22363148974544e-62,*,*
ar,5,-1,0.193742579210746,0.245499089591967,0.564345381433025,1.18078466654701e-40,6.12623213357596e-65,0,0.165955953473403,0.218328190854378,0.221221799976036,0.272289656556941,0.00563602857499847,-0.00044884658415111,0.0142777934579463,0.0147893837293555,13.1747633967248,16.6300327773587,1.22611220310016e-39,4.22363148974544e-62,*,*
ar,6,-1,0.217809380092881,0.266162386927618,0.507896019207041,1.05161065737598e-43,3.74546601768203e-65,1.476247080979e-258,0.187925389832457,0.236968269855892,0.247290470796753,0.294876246429889,-0.00361175587593096,-0.000925759490040939,0.0153778878752724,0.0154752142223547,14.3986702052144,17.2590920280663,5.27486837730244e-47,9.5602378209899e-67,*,*
ar,6,-1,0.217809380092881,0.266162386927618,0.507896019207041,1.05161065737598e-43,3.74546601768203e-65,1.476247080979e-258,0.187925389832457,0.236968269855892,0.247290470796753,0.294876246429889,-0.00361175587593096,-0.000925759490040939,0.0153778878752724,0.0154752142223547,14.3986702052144,17.2590920280663,5.27486837730244e-47,9.5602378209899e-67,*,*
ar,7,-1,0.229472451221602,0.253296875910137,0.464302538059172,1.44114268593072e-37,1.17091538536794e-45,3.36154680386411e-162,0.195494645271748,0.219702889152183,0.262900015295115,0.286290858603371,0.00455938810656005,0.000812093207113444,0.0189773754120572,0.0182421016715987,11.851642191372,13.8407726943064,2.11014560396916e-32,1.44643340420425e-43,*,*
ar,7,-1,0.229472451221602,0.253296875910137,0.464302538059172,1.44114268593072e-37,1.17091538536794e-45,3.36154680386411e-162,0.195494645271748,0.219702889152183,0.262900015295115,0.286290858603371,0.00455938810656005,0.000812093207113444,0.0189773754120572,0.0182421016715987,11.851642191372,13.8407726943064,2.11014560396916e-32,1.44643340420425e-43,*,*
arz,3,-1,0.173797895529565,0.32240280804493,0.500234877969694,8.28516573377955e-12,3.18475185018995e-38,2.32293433110606e-97,0.124688942981122,0.276683790362091,0.222057396968899,0.36666559855092,0.0459803062302016,0.0142624528226269,0.0245329977350115,0.0259822352252517,5.21002735499187,11.8596553587825,1.88812790804602e-07,1.91762808705881e-32,*,*
arz,3,-1,0.173797895529565,0.32240280804493,0.500234877969694,8.28516573377955e-12,3.18475185018995e-38,2.32293433110606e-97,0.124688942981122,0.276683790362091,0.222057396968899,0.36666559855092,0.0459803062302016,0.0142624528226269,0.0245329977350115,0.0259822352252517,5.21002735499187,11.8596553587825,1.88812790804602e-07,1.91762808705881e-32,*,*
arz,4,-1,0.187223683889499,0.207655171085458,0.488064093910671,2.90827278185139e-31,3.21705856179966e-38,2.79356756308279e-226,0.156329203174702,0.176998946572659,0.217752171102807,0.237908852422013,0.0187628068584146,0.00339853593812812,0.0160031062419334,0.0158114000213065,10.5267611477615,12.9183143094277,6.5033736896935e-26,3.54830085895095e-38,*,*
arz,4,-1,0.187223683889499,0.207655171085458,0.488064093910671,2.90827278185139e-31,3.21705856179966e-38,2.79356756308279e-226,0.156329203174702,0.176998946572659,0.217752171102807,0.237908852422013,0.0187628068584146,0.00339853593812812,0.0160031062419334,0.0158114000213065,10.5267611477615,12.9183143094277,6.5033736896935e-26,3.54830085895095e-38,*,*
arz,5,-1,0.240550238609345,0.25584527130039,0.581359003025259,2.88283355891094e-66,5.20809514846088e-75,0,0.214161117207101,0.229657592717959,0.26658847973504,0.28166276465401,0.00765849018909474,0.00099010403772014,0.0134471350196068,0.0135886000004162,17.3190607576022,18.7550716964856,3.378267122778e-67,1.75980242753199e-78,*,*
arz,5,-1,0.240550238609345,0.25584527130039,0.581359003025259,2.88283355891094e-66,5.20809514846088e-75,0,0.214161117207101,0.229657592717959,0.26658847973504,0.28166276465401,0.00765849018909474,0.00099010403772014,0.0134471350196068,0.0135886000004162,17.3190607576022,18.7550716964856,3.378267122778e-67,1.75980242753199e-78,*,*
