lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper
he,4,0.145780691073479,0.277267956735344,0.525258111467325,5.56916794496813e-21,1.67457886893742e-73,1.33315509411423e-290,0.115737292587106,0.248817194596026,0.175557595384919,0.30524064126678
he,5,0.170637599199992,0.219421972860045,0.538182896601329,4.43474959731066e-39,4.57578379680712e-64,0,0.14551843454151,0.194764008488113,0.195536911834975,0.243802768100612
he,6,0.214461103429741,0.199362868258517,0.43931018470368,6.89887580829865e-49,2.35663073862727e-42,7.08820974923672e-216,0.186685440849698,0.171417580585793,0.241894182689963,0.226987606727985
he,7,0.234793729741011,0.155233461753824,0.331012927392557,2.17693458499895e-28,4.23872664057096e-13,2.71018603227195e-56,0.19450654142462,0.113763872352445,0.274290115849393,0.196163072951356
hi,3,0.396522563384082,0.349023672643248,0.425419563917667,1.53338510122774e-240,3.62747857479399e-183,2.21328146360597e-280,0.375696441438821,0.327347893515637,0.416948393225227,0.370332312733962
hi,4,0.132096620851186,0.177481358775272,0.53813944593661,4.51181994168323e-15,4.05238698281997e-26,1.34792271765065e-261,0.0993719482936603,0.14517580483254,0.164535854790832,0.209408883478374
hi,5,0.085501524406754,0.179143834862562,0.47013132160123,0.000272927280730617,1.66463772677246e-14,4.43581432130093e-100,0.0395573787426944,0.134151666060752,0.1310849028093,0.223398951156667
hi,6,0.0470098935677075,0.14858373494542,0.397648493279074,0.07004098271253,8.6715181051899e-09,1.77458103044581e-57,-0.00385069276611433,0.0984764108116045,0.0976278935126698,0.197939546643132
hi,7,-0.00412291011961407,0.157236515516948,0.278429328044132,0.87948173642481,5.92660451941995e-09,1.51434350065749e-25,-0.0573638813893249,0.104860993033437,0.0491414454241251,0.208742198577223
hif,3,0.281625628178161,0.297499101899025,0.671707600955494,7.81726480806994e-17,1.08970802650149e-18,1.09194223916096e-111,0.218253657578287,0.234691253902213,0.342632411709989,0.357833294907536
hif,4,0.153046907828977,0.169900473339068,0.645996557175248,2.76963435463292e-13,4.62811116653777e-16,1.97926750939219e-266,0.112470586239932,0.129522022929362,0.193113658053986,0.209716385803363
hif,5,0.166079836892232,0.184716531733716,0.521797959188664,7.816531304888e-23,6.01617183659935e-28,4.16777866885814e-241,0.13350559715625,0.152341080843298,0.198295619583268,0.216695978734679
hif,6,0.132830141459268,0.152439801976809,0.382850751886164,9.4637081380133e-17,1.27330839633785e-21,8.92159764393048e-136,0.101800535562503,0.121567772384354,0.163601532603383,0.183017182530337
hif,7,0.067861689968528,0.102972291686339,0.266704412021119,0.000103177112515923,3.61528654368421e-09,2.3470558636027e-54,0.0336577069205782,0.0689333489132962,0.101906894429788,0.136771756362673
hr,3,0.0987663872759802,0.265918463596641,0.406789245079346,0.0169623056919134,6.56033512786036e-11,1.10846971130535e-24,0.0177745490942795,0.188858840461863,0.178470514229694,0.339723173528307
