lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,mu.prob.mp,var.mp.f,var.prob.f,var.prob.mp,z.mp.f,z.prob.f,z.prob.mp,p.mp.f,p.prob.f,p.prob.mp,sig.mp.f,sig.prob.f,sig.prob.mp
tt,3,0.12447324171698,0.228977760044262,0.566681203714222,0.000103258787076819,5.55729029926375e-13,2.56294173979869e-83,0.0619492266631622,0.168397490264626,0.186024131741396,0.287834804678064,-0.000617841534748599,0.00013079980839186,0.423363820770109,0.0765955970686146,0.0765295854121155,0.0667476697328081,1.63313673421295,2.99030706887432,2.1471518559047,0.102440242248672,0.00278697124282401,0.0317811940991169,n.s,*,n.s
tt,4,0.14537921091645,0.274301955767665,0.487924144289873,6.87494591728127e-10,3.68528893043352e-32,2.36397521484001e-107,0.0996422948636377,0.230831272746713,0.190503095302291,0.316679775909011,-0.000740311329773018,0.000636845920826503,0.656072844070894,0.0464072418571122,0.0470517795729818,0.0268160957753497,3.1486362127731,5.81625418486792,-6.270439261169,0.00164034256544168,6.01809330897496e-09,3.60030973811044e-10,*,*,*
tt,5,0.0921810070292593,0.228074997575567,0.428426272403227,1.93338200279893e-07,8.88849434508122e-39,4.6074738767645e-142,0.0575958936406305,0.194850467352411,0.126545130715626,0.260776725809797,0.000842428184706248,-0.000737361636171876,0.367716321785237,0.0560478162268464,0.0562181495733072,0.0558226475211513,1.62965455201451,4.07007987542124,1.08755054290442,0.103174527852783,4.69970216243417e-05,0.276793574273852,n.s,*,n.s
tt,6,0.116140992659206,0.232154012715799,0.361387531551754,1.40565310081914e-10,2.13100860662759e-38,3.08198532708676e-94,0.0808840808099712,0.198200419339858,0.151107628197564,0.265551110728561,-0.00030849213819668,-0.00137484950408921,0.586142609719784,0.0305626176694798,0.0309154296767569,0.0166419036829882,3.81019342180531,7.55379642662581,-13.5053706865147,0.000138858110562777,4.22750779577647e-14,1.45380160276673e-41,*,*,*
tt,7,0.152673008555596,0.222222014945705,0.28398901600826,1.15145657263962e-16,6.10233202563302e-34,3.34823210026545e-55,0.11701701594359,0.187429549878408,0.187935916817803,0.25645758403706,-0.00411410863893591,0.000495121039580682,0.271330880578305,0.052682307996538,0.0523761664627203,0.054773782631809,2.97608671975486,4.23335476573953,0.231098434720923,0.00291952292241062,2.3023088432958e-05,0.817238331122152,*,*,n.s
uk,3,0.117088291758536,0.191049634591855,0.333858433346382,0.00181749631126524,3.08570504871356e-07,7.2069095510603e-20,0.0437309862268276,0.11899100647573,0.189189780478861,0.261106282345449,0.00325504987273759,0.00406706485255507,0.2306496828452,0.0987615590274866,0.0936933415391708,0.0878832836069311,1.15260677339163,1.99568685103548,1.17438432276605,0.249071821810125,0.0459680192095714,0.240241121820126,n.s,n.s,n.s
uk,4,0.169723684114963,0.224362117041869,0.490515781982665,6.14247990576809e-10,1.96726879523333e-16,2.2783528908596e-80,0.116675900662293,0.172335179969408,0.221805811507255,0.275140751428635,-0.00129254685393877,-0.0016724005455117,0.654477951741178,0.0549069170026754,0.0532229753252356,0.0344911834674741,3.11465732014363,4.2469350164309,-4.75374148623032,0.00184158721782995,2.16714782285364e-05,1.99686336648052e-06,*,*,*
uk,5,0.165028798211924,0.185442951054811,0.409141458735255,6.00847556173059e-15,1.56065901153824e-18,7.25233137472591e-90,0.124168649261832,0.144848515183705,0.205330217330688,0.225414151879879,-0.00739969775605446,0.00142105976835383,0.149108777908637,0.122930448809315,0.121632113376554,0.15151900939921,1.40265082929489,1.5129383694646,1.71617199622461,0.160720986636908,0.130295314448731,0.0861305670431565,n.s,n.s,n.s
uk,6,0.221348767516331,0.15745814985435,0.321280095523604,9.50933284404503e-32,1.14554681369909e-16,8.41568408558869e-67,0.18543301954502,0.120717031307968,0.256673915631555,0.193768463402338,0.00192592652184162,-0.00158137698087972,0.477067906892268,0.0399813011237506,0.0402792803357673,0.0280081823127276,5.48813657452841,3.94842026742978,-5.5622249822999,4.06195960329245e-08,7.86686085556217e-05,2.66356589541882e-08,*,*,*
uk,7,0.234899631547943,0.156943058410076,0.25552527148322,2.31676664601414e-37,2.51965222399951e-17,4.0637708325922e-44,0.200073482397158,0.121093968898587,0.269132968744666,0.192383284901083,-0.00159938735931389,0.00401586352839589,0.0973033145776032,0.148269104703735,0.145757373941522,0.181040371546033,1.59506607515989,1.04919010782284,0.873959523803705,0.110697460788462,0.294090630575562,0.382140296889509,n.s,n.s,n.s
uz,3,0.0940673421162532,0.155200202125486,0.583593150745375,0.0111059636595445,2.60109130473425e-05,1.14731175745679e-67,0.0215517086927367,0.0834786725800608,0.165598386248732,0.225322120053354,-0.00119475910130987,-0.00114223806598084,0.571791349801686,0.0366724719500612,0.0366591784428348,0.0226798857742942,2.59764603125981,4.26475569918356,0.520364214402938,0.00938651984826606,2.00121045520205e-05,0.602809747151804,*,*,n.s
uz,4,0.0179840548749432,0.132471521717,0.635427103583426,0.532664178671292,3.91220348540655e-06,2.28093872124659e-137,-0.0385036562661136,0.0765956683006814,0.0743571924884035,0.187517916859398,-0.000502396630329882,-0.00145458353773948,0.612283034972539,0.0293578164105924,0.0292703590376445,0.0186880928336285,0.629694363052256,4.5754855648507,1.23843930019657,0.528894571330713,4.75116727454109e-06,0.215553216010471,n.s,*,n.s
uz,5,0.0970100824015967,0.173879136428611,0.508246142859704,1.13173898536187e-05,2.55467084017976e-15,1.69739782698818e-134,0.0538483743872893,0.131482723933195,0.139809968734974,0.215640633807642,-0.000448015974515054,-0.00110403337343403,0.482376208364291,0.0225974490791308,0.023070377124823,0.0195772400021956,4.31279203395202,7.58475550075724,1.32142909278895,1.61205739880322e-05,3.33114626854212e-14,0.186358330857404,*,*,n.s
uz,6,0.0997618186355755,0.17307767414133,0.502827365585329,4.35373301532764e-07,1.24200709030758e-18,8.17283966805847e-164,0.0612202523619681,0.135206734726591,0.13800632998018,0.210443647785113,-0.000501028241031456,-9.58965308161637e-05,0.4735570900715,0.0205675222483276,0.0198560515089692,0.0172572476587336,4.8748140717222,8.72145051567386,1.69611493632449,1.0891098310525e-06,2.74660268664829e-18,0.0898641155353956,*,*,n.s
uz,7,0.0993854311742157,0.168895365333673,0.405810041638079,4.27531820754794e-07,5.95408585435691e-18,8.5617482378173e-103,0.0610145276561766,0.131145458216337,0.137463019045383,0.206156187046483,-0.00102623194315315,0.000740710154636156,0.363778841092417,0.0189925610961421,0.01988607098837,0.021316866276491,5.28689430609572,8.45590138330389,1.97173449420263,1.24410473977786e-07,2.76939592784056e-17,0.0486399237156061,*,*,n.s
vec,3,0.287913634118148,0.352061059727884,0.532064134755236,1.17544448178535e-14,1.35968596890333e-21,9.16708425739513e-52,0.218010994027061,0.284959411114103,0.354877236208869,0.415728938571488,5.96624264759937e-05,0.00114635162192475,0.507607114044503,0.0384839665255267,0.038665335954017,0.027131276161705,7.47984154649799,9.07569272185523,0.901432743707552,7.4412276563678e-14,1.12956663316039e-19,0.3673582783949,*,*,n.s
vec,4,0.237084541099194,0.248772497876931,0.653338668043306,1.42335152774165e-27,2.81943773588145e-30,1.04090191127652e-249,0.195791091646205,0.207706505788051,0.277538719987445,0.288963133878884,-0.00114461842411588,0.000801209533398013,0.587701974887252,0.0233475416979887,0.0244139048310502,0.0135636521229127,10.2036078403849,10.1569695654813,4.83916076299069,1.91041125709791e-24,3.08516906428265e-24,1.30388546163783e-06,*,*,*
vec,5,0.349584924347014,0.281026170035704,0.60484727187966,8.96523043936056e-90,2.39796651205229e-57,1.20011293698001e-308,0.318292605909699,0.248272658595763,0.380116258996418,0.313137841947104,-0.000411846300875971,-0.00036604478227764,0.594379169065788,0.0183841503643175,0.0192110088686963,0.0126553470892076,19.0379627946915,14.6474459900178,0.827168369234151,8.26816167865084e-81,1.39875456553953e-48,0.40814163711906,*,*,n.s
vec,6,0.323924043418212,0.246613493970477,0.421644466241625,9.59031550380692e-89,4.93144242939724e-51,3.27667355738641e-155,0.29437515930986,0.215687392690231,0.352854190164741,0.277045340726713,0.001372303061873,0.000513143887137807,0.418124772161479,0.0170092089054915,0.0170021681396318,0.0153780929229016,18.9633593277934,14.4746451195058,0.228877149968589,3.42549916424232e-80,1.75227786505901e-47,0.818964400877136,*,*,n.s
vec,7,0.353745008342052,0.196181446126454,0.308813421695464,1.02274885106252e-98,3.09607995414608e-30,1.74924982038248e-74,0.323662690781372,0.163297872139123,0.383112889712638,0.228629606570967,0.000575771887605281,0.000399743681435788,0.33729114705459,0.0167741690832069,0.0170132849163486,0.0184922140584973,21.0543505733476,11.5075779549713,-1.53998462645096,2.08622917263223e-98,1.20824211981203e-30,0.123564100848569,*,*,n.s
vi,3,0.327716432638677,0.190472356000837,0.419029660774483,1.35540055206887e-63,7.90491206546529e-22,9.36984348484168e-107,0.292247029144813,0.152384634818181,0.362285485339295,0.22799515174795,2.67004986868731e-05,0.000916769265771525,0.570584752432696,0.0284140975203286,0.0290290054925637,0.0197219047665069,11.5326461417804,6.52986843740215,-7.68460721479573,9.03240680549288e-31,6.58274883568015e-11,1.53467107496591e-14,*,*,*
